role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Fabio Ciravegna,http://data.semanticweb.org/person/fabio-ciravegna,,1,,,,464d09b4ca82f5a8e391511cd3d86c2bda719baa,1,University Of Sheffield;The University of Sheffield;University of Sheffield,1
,,,,,Fadi Badra,http://data.semanticweb.org/person/fadi-badra,,1,,,,2e191bce60b6bf89bdc74c13714e996d3edbd6a1,1,LORIA,1
,,,,,Faezeh Ensan,http://data.semanticweb.org/person/faezeh-ensan,,1,,,,02411d5e496a077b46a587908e1bbf4955b46f5d,1,University of New Brunswick,1
,,,,,Fausto Giunchiglia,http://data.semanticweb.org/person/fausto-giunchiglia,,0,,,,ad1bf97094dfdc9d370fdf06df968c90c4b4852d,1,"University of Trento;DIT, University of Trento",1
,,,,,Felix Kratzer,http://data.semanticweb.org/person/felix-kratzer,,1,,,,7e8dd156f3c0d9aab2b6e5224ca74b76cf32d615,1,pi-consult GmbH,1
,,,,,Feng Cao,http://data.semanticweb.org/person/feng-cao,,2,,,,2252d02011fca085904857c4c2c60898828caee0,1,IBM China Research Lab;IBM China Research Laboratory,1
,,,,,Floriana Esposito,http://data.semanticweb.org/person/floriana-esposito,,2,,,,e11d3c3bab0abac8725bcfe1aaa2511f49f79713,1,"Computer Science Department - University of Bari;Dipartimento di Informatica - Università degli Studi di Bari;Dipartimento di Informatica, Università di Bari",1
,,,,,Francesca Alessandra Lisi,http://data.semanticweb.org/person/francesca-alessandra-lisi,,1,,,,082657c852d69248417b8795e8e81298c554da83,1,"Computer Science Department - University of Bari;Dipartimento di Informatica - Università degli Studi di Bari;Dipartimento di Informatica, Università di Bari",1
,,,,,Frank van Harmelen,http://data.semanticweb.org/person/frank-van-harmelen,,1,,,,61c8d2dcc50fab61e7f66101bd4d063d8ab4124d,1,VU Amsterdam;UVA;Vrije Universiteit Amsterdam;VU University Amsterdam;Vrije University Amsterdam,1
,,,,,Frank van-Harmelen,http://data.semanticweb.org/person/frank-van-harmelen,,1,,,,61c8d2dcc50fab61e7f66101bd4d063d8ab4124d,1,VU Amsterdam;UVA;Vrije Universiteit Amsterdam;VU University Amsterdam;Vrije University Amsterdam,1
,,,,,François Bry,http://data.semanticweb.org/person/francois-bry,,0,,,,00430dd3c7eb31e6f180c589b8214bb2b8bff180,1,University of Munich,1
,,,,,Frédéric Vernier,http://data.semanticweb.org/person/frederic-vernier,,1,,,,ccab0d8bf70ffa3b08e04c8a2370d11eef955e2e,1,LIMSI-CNRS,1
,,,,,Fulvio Corno,http://data.semanticweb.org/person/fulvio-corno,,1,,,,a50818f54d8e9b6e95ce4e3c745e3aab92a2ae85,1,Politecnico di Torino,1
,,,,,Gang Wu,http://data.semanticweb.org/person/gang-wu,,1,,,,838a92a624089c4539779ab4057d9ab0e6c731d6,1,"Department of Computer Science and Technology, Tsinghua University",1
,,,,,Gautier Poupeau,http://data.semanticweb.org/person/gautier-poupeau,,1,,,,fc6c96cb766d6773decc0802dcf1ac95779d4cb7,1,Atos Origin,1
,,,,,Georg Lausen,http://data.semanticweb.org/person/georg-lausen,,1,,,,9b94eccc1de49ceee1f8fe147ffa5e994a5080af,1,University of Freiburg;Freiburg University,1
,,,,,Georg Schmidt,http://data.semanticweb.org/person/georg-schmidt,,1,,,,88e97877987d6b881f097da47481b4dbd2af1cde,1,brox IT-Solutions GmbH,1
,,,,,George Fletcher,http://data.semanticweb.org/person/george-fletcher,,1,,,,eac11ac99e4af79d2254940c3b3c3382ab7d3963,1,"Washington State University, Vancouver",1
,,,,,Georgios Meditskos,http://data.semanticweb.org/person/georgios-meditskos,,1,,,,1ec7e909d2d065bb4e8c5d49547da2f7ec368fec,1,"Aristotle University of Thessaloniki, Greece;Aristotle University of Thessaloniki",1
,,,,,Gerald Reif,http://data.semanticweb.org/person/gerald-reif,,1,,,,a55828e2f196487ffc8a0165230c84e1b92e54c0,1,"University of Zurich;Department of Informatics, University of Zurich;Univ Zürich",1
,,,,,Gerard de Melo,http://data.semanticweb.org/person/gerard-de-melo,,1,,,,349424ed9dd9413c3b49b6db639af2e46fb9e4c6,1,Max-Planck Institute for Informatics;Max Planck Institute for Informatics,1
,,,,,Gerd Stumme,http://data.semanticweb.org/person/gerd-stumme,,1,,,,b5fb2cb32e71128cdf273cad45706863bccbbdca,1,University of Kassel,1
,,,,,Gerhard Friedrich,http://data.semanticweb.org/person/gerhard-friedrich,,0,,,,0b3c57a08eacdd39224b5272381cf7dc0af12400,1,University Klagenfurt,1
,,,,,Gerhard Weikum,http://data.semanticweb.org/person/gerhard-weikum,,1,,,,f1b5aab0cb717d9e791d598e03d8a1b048bc6cf0,1,Max-Planck Institute for Informatics;Max Planck Institute for Informatics,1
,,,,,Germán Toro del Valle,http://data.semanticweb.org/person/german-toro-del-valle,,1,,,,3b632c51683d831616acb2a98af19118aeadfe1f,1,Telefónica Research and Development;Telefonica R&D,1
,,,,,Gianni Vercelli,http://data.semanticweb.org/person/gianni-vercelli,,1,,,,ff2cf2fe89e25fb5a50182793941bcb19444ed49,1,DIST - University of Genoa,1
,,,,,Gideon Zenz,http://data.semanticweb.org/person/gideon-zenz,,1,,,,103222c47128a9d1712e082546f3360a732a91a7,1,"Research Center L3S;L3S Research Center;L3S Research Center & Hannover University;L3S Research Center, Hannover, Germany",1
,,,,,Giorgos Stamou,http://data.semanticweb.org/person/giorgos-stamou,,0,,,,ed24f9a731f7d754cfd077da217c483efea94d89,1,National Technical University of Athens;National Technical Univ. of Athens,1
,,,,,Glen Hart,http://data.semanticweb.org/person/glen-hart,,3,,,,20e382d981f723a765ea9f9541b24b22aad4ab64,1,Ordnance Survey;Ordnance Survey of Great Britain,1
,,,,,Glenda Kelly,http://data.semanticweb.org/person/glenda-kelly,,1,,,,aa54ba6c56d4372cfe9d1f49208b1418630e90a1,1,Duke University,1
,,,,,Gong Cheng,http://data.semanticweb.org/person/gong-cheng,,1,,,,90949b51ff990bbe53fa3b030fb31b3c90634551,1,"Institute of Web Science, School of Computer Science and Engineering, Southeast University, P.R. China",1
,,,,,Grażyna Paliwoda-Pękosz,http://data.semanticweb.org/person/grazyna-paliwoda-pekosz,,1,,,,2aca070d989e9fbf8b35ff7abaa6dd3e42b63f41,1,"Cracow University of Economics, Department of Computational Systems",1
,,,,,Grigoris Antoniou,http://data.semanticweb.org/person/grigoris-antoniou,,0,,,,f44cd7769f416e96864ac43498b082155196829e,1,Institute of Computer Science-FORTH;FORTH-ICS,1
,,,,,Guilin Qi,http://data.semanticweb.org/person/guilin-qi,,1,,,,7618a76dbd015fd744d2a2d5ef46642e65764490,1,Universität Karlsruhe;University of Karlsruhe,1
